time,temperature_2m_mean
2021-04-06,27.9
2021-04-07,28.7
2021-04-08,28.7
2021-04-09,28.3
2021-04-10,28.5
2021-04-11,29.9
2021-04-12,29.8
2021-04-13,29.7
2021-04-14,30.0
2021-04-15,29.8
2021-04-16,29.1
2021-04-17,28.0
2021-04-18,28.9
2021-04-19,29.7
2021-04-20,30.9
2021-04-21,30.7
2021-04-22,27.3
2021-04-23,28.2
2021-04-24,30.1
2021-04-25,31.5
2021-04-26,31.6
2021-04-27,31.7
2021-04-28,31.6
2021-04-29,31.2
2021-04-30,30.9
2021-05-01,30.0
2021-05-02,29.5
2021-05-03,27.7
2021-05-04,26.1
2021-05-05,27.0
2021-05-06,27.1
2021-05-07,27.7
2021-05-08,27.0
2021-05-09,27.7
2021-05-10,27.5
2021-05-11,26.3
2021-05-12,26.8
2021-05-13,26.5
2021-05-14,27.3
2021-05-15,29.5
2021-05-16,29.8
2021-05-17,31.1
2021-05-18,29.8
2021-05-19,28.8
2021-05-20,30.2
2021-05-21,30.5
2021-05-22,31.0
2021-05-23,31.1
2021-05-24,30.7
2021-05-25,28.7
2021-05-26,27.8
2021-05-27,28.5
2021-05-28,28.8
2021-05-29,29.5
2021-05-30,29.7
2021-05-31,27.8
2021-06-01,27.2
2021-06-02,28.6
2021-06-03,29.0
2021-06-04,29.8
2021-06-05,28.2
2021-06-06,26.3
2021-06-07,28.3
2021-06-08,27.5
2021-06-09,28.7
2021-06-10,27.9
2021-06-11,27.3
2021-06-12,27.4
2021-06-13,28.2
2021-06-14,27.9
2021-06-15,27.3
2021-06-16,26.4
2021-06-17,26.3
2021-06-18,25.8
2021-06-19,25.2
2021-06-20,26.2
2021-06-21,27.2
2021-06-22,27.4
2021-06-23,28.2
2021-06-24,28.0
2021-06-25,28.1
2021-06-26,28.2
2021-06-27,29.0
2021-06-28,28.5
2021-06-29,27.9
2021-06-30,27.5
2021-07-01,27.3
2021-07-02,26.8
2021-07-03,27.5
2021-07-04,27.8
2021-07-05,28.1
2021-07-06,28.3
2021-07-07,27.8
2021-07-08,28.0
2021-07-09,29.0
2021-07-10,28.7
2021-07-11,29.2
2021-07-12,29.2
2021-07-13,28.4
2021-07-14,28.5
2021-07-15,29.0
2021-07-16,29.5
2021-07-17,28.2
2021-07-18,28.9
2021-07-19,28.2
2021-07-20,27.3
2021-07-21,28.8
2021-07-22,29.4
2021-07-23,26.9
2021-07-24,26.8
2021-07-25,28.4
2021-07-26,28.5
2021-07-27,28.6
2021-07-28,27.2
2021-07-29,26.2
2021-07-30,26.9
2021-07-31,27.3
2021-08-01,27.6
2021-08-02,27.0
2021-08-03,27.8
2021-08-04,27.9
2021-08-05,29.5
2021-08-06,28.1
2021-08-07,26.9
2021-08-08,27.4
2021-08-09,28.4
2021-08-10,28.7
2021-08-11,28.8
2021-08-12,28.7
2021-08-13,27.3
2021-08-14,28.2
2021-08-15,28.9
2021-08-16,27.4
2021-08-17,26.7
2021-08-18,26.6
2021-08-19,26.6
2021-08-20,26.9
2021-08-21,27.9
2021-08-22,28.9
2021-08-23,28.9
2021-08-24,28.5
2021-08-25,28.4
2021-08-26,27.6
2021-08-27,28.2
2021-08-28,28.3
2021-08-29,27.5
2021-08-30,27.5
2021-08-31,28.3
2021-09-01,28.6
2021-09-02,28.4
2021-09-03,28.6
2021-09-04,29.7
2021-09-05,29.0
2021-09-06,29.0
2021-09-07,27.3
2021-09-08,27.8
2021-09-09,28.7
2021-09-10,29.9
2021-09-11,28.8
2021-09-12,29.2
2021-09-13,27.8
2021-09-14,26.6
2021-09-15,28.5
2021-09-16,28.1
2021-09-17,27.7
2021-09-18,26.4
2021-09-19,26.4
2021-09-20,26.0
2021-09-21,26.4
2021-09-22,26.8
2021-09-23,28.3
2021-09-24,29.7
2021-09-25,28.4
2021-09-26,28.6
2021-09-27,29.1
2021-09-28,27.3
2021-09-29,26.3
2021-09-30,28.2
2021-10-01,28.9
2021-10-02,28.8
2021-10-03,27.9
2021-10-04,26.8
2021-10-05,27.4
2021-10-06,28.1
2021-10-07,28.5
2021-10-08,28.3
2021-10-09,28.3
2021-10-10,28.8
2021-10-11,29.6
2021-10-12,29.9
2021-10-13,28.5
2021-10-14,29.7
2021-10-15,29.8
2021-10-16,29.1
2021-10-17,28.7
2021-10-18,25.5
2021-10-19,25.5
2021-10-20,25.4
2021-10-21,26.3
2021-10-22,25.6
2021-10-23,25.8
2021-10-24,26.3
2021-10-25,26.1
2021-10-26,26.3
2021-10-27,26.2
2021-10-28,26.1
2021-10-29,26.9
2021-10-30,26.6
2021-10-31,25.0
2021-11-01,24.4
2021-11-02,24.0
2021-11-03,23.8
2021-11-04,22.9
2021-11-05,22.7
2021-11-06,22.3
2021-11-07,22.8
2021-11-08,22.3
2021-11-09,22.6
2021-11-10,22.8
2021-11-11,24.2
2021-11-12,24.6
2021-11-13,21.7
2021-11-14,22.9
2021-11-15,22.3
2021-11-16,22.5
2021-11-17,21.7
2021-11-18,21.3
2021-11-19,21.6
2021-11-20,22.9
2021-11-21,22.9
2021-11-22,23.5
2021-11-23,24.0
2021-11-24,22.9
2021-11-25,22.3
2021-11-26,21.3
2021-11-27,20.2
2021-11-28,20.2
2021-11-29,20.4
2021-11-30,21.5
2021-12-01,21.8
2021-12-02,22.1
2021-12-03,22.7
2021-12-04,22.0
2021-12-05,20.7
2021-12-06,19.6
2021-12-07,21.3
2021-12-08,21.4
2021-12-09,22.5
2021-12-10,22.0
2021-12-11,20.6
2021-12-12,18.9
2021-12-13,17.8
2021-12-14,18.2
2021-12-15,18.3
2021-12-16,18.4
2021-12-17,17.7
2021-12-18,18.2
2021-12-19,17.2
2021-12-20,16.1
2021-12-21,17.3
2021-12-22,17.4
2021-12-23,18.3
2021-12-24,18.9
2021-12-25,18.1
2021-12-26,18.9
2021-12-27,18.7
2021-12-28,18.4
2021-12-29,18.3
2021-12-30,18.3
2021-12-31,18.2
2022-01-01,17.9
2022-01-02,17.6
2022-01-03,17.3
2022-01-04,16.8
2022-01-05,16.8
2022-01-06,17.4
2022-01-07,18.6
2022-01-08,18.9
2022-01-09,19
2022-01-10,20
2022-01-11,21
2022-01-12,19.5
2022-01-13,19.3
2022-01-14,18.1
2022-01-15,17.6
2022-01-16,16.5
2022-01-17,17.2
2022-01-18,17.4
2022-01-19,17.4
2022-01-20,17
2022-01-21,17.9
2022-01-22,17.7
2022-01-23,18.6
2022-01-24,17.8
2022-01-25,18.6
2022-01-26,18.8
2022-01-27,16.6
2022-01-28,14.8
2022-01-29,14.5
2022-01-30,16.3
2022-01-31,16.6
2022-02-01,17.8
2022-02-02,18.8
2022-02-03,19.4
2022-02-04,18.3
2022-02-05,16.7
2022-02-06,15.3
2022-02-07,16.5
2022-02-08,17.6
2022-02-09,18.3
2022-02-10,16.6
2022-02-11,17.4
2022-02-12,16.6
2022-02-13,17.3
2022-02-14,17.5
2022-02-15,17.7
2022-02-16,17.6
2022-02-17,18.3
2022-02-18,18.5
2022-02-19,18.4
2022-02-20,19.3
2022-02-21,19.2
2022-02-22,20.9
2022-02-23,21.3
2022-02-24,22.3
2022-02-25,21.6
2022-02-26,21.5
2022-02-27,22.2
2022-02-28,22.7
2022-03-01,23
2022-03-02,21.9
2022-03-03,22.2
2022-03-04,23.1
2022-03-05,23.2
2022-03-06,23.1
2022-03-07,24.1
2022-03-08,24
2022-03-09,24
2022-03-10,23.7
2022-03-11,23.3
2022-03-12,23.9
2022-03-13,23.7
2022-03-14,24.9
2022-03-15,25.6
2022-03-16,26.9
2022-03-17,27
2022-03-18,26.6
2022-03-19,27.1
2022-03-20,26.9
2022-03-21,27.3
2022-03-22,28.3
2022-03-23,28.6
2022-03-24,28.8
2022-03-25,27.2
2022-03-26,27.4
2022-03-27,26.8
2022-03-28,28.3
2022-03-29,27.5
2022-03-30,27.7
2022-03-31,27.9
2022-04-01,28.9
2022-04-02,28.2
2022-04-03,28.1
2022-04-04,29
2022-04-05,28.8
2022-04-06,28.6
2022-04-07,28.7
2022-04-08,29
2022-04-09,28.8
2022-04-10,29
2022-04-11,27.7
2022-04-12,28.6
2022-04-13,28.7
2022-04-14,29.2
2022-04-15,29.1
2022-04-16,28.6
2022-04-17,28.7
2022-04-18,26.7
2022-04-19,28
2022-04-20,24.3
2022-04-21,26.1
2022-04-22,25.5
2022-04-23,28.3
2022-04-24,29.5
2022-04-25,29.4
2022-04-26,29.8
2022-04-27,29.7
2022-04-28,29.9
2022-04-29,29.6
2022-04-30,27.1
2022-05-01,27.5
2022-05-02,27.1
2022-05-03,24.7
2022-05-04,25.3
2022-05-05,25.8
2022-05-06,27.1
2022-05-07,28.5
2022-05-08,29
2022-05-09,26
2022-05-10,25.9
2022-05-11,26.7
2022-05-12,27.5
2022-05-13,28
2022-05-14,29.7
2022-05-15,30
2022-05-16,29.9
2022-05-17,29
2022-05-18,28.9
2022-05-19,29.3
2022-05-20,28.4
2022-05-21,28.5
2022-05-22,27.4
2022-05-23,27.7
2022-05-24,29.2
2022-05-25,28.1
2022-05-26,27.5
2022-05-27,26.7
2022-05-28,28.2
2022-05-29,27.3
2022-05-30,28.3
2022-05-31,27.8
2022-06-01,27.8
2022-06-02,28
2022-06-03,27.9
2022-06-04,28.2
2022-06-05,28.8
2022-06-06,29.1
2022-06-07,28.7
2022-06-08,29.8
2022-06-09,28.2
2022-06-10,28.5
2022-06-11,29.1
2022-06-12,29
2022-06-13,29.4
2022-06-14,29
2022-06-15,27.8
2022-06-16,27.5
2022-06-17,26.4
2022-06-18,26.4
2022-06-19,26.4
2022-06-20,26.5
2022-06-21,27.1
2022-06-22,28
2022-06-23,27.9
2022-06-24,27.9
2022-06-25,28.1
2022-06-26,28.5
2022-06-27,28.8
2022-06-28,28.3
2022-06-29,27.4
2022-06-30,27.1
2022-07-01,27.8
2022-07-02,28.5
2022-07-03,28.3
2022-07-04,29
2022-07-05,29.2
2022-07-06,28.7
2022-07-07,29.2
2022-07-08,28.8
2022-07-09,29.1
2022-07-10,29.3
2022-07-11,28.9
2022-07-12,29.8
2022-07-13,30.2
2022-07-14,30
2022-07-15,29.6
2022-07-16,29.9
2022-07-17,29.7
2022-07-18,29.2
2022-07-19,28.8
2022-07-20,28.2
2022-07-21,29.2
2022-07-22,29.5
2022-07-23,28.4
2022-07-24,27.1
2022-07-25,27.2
2022-07-26,27.1
2022-07-27,28.8
2022-07-28,28.9
2022-07-29,29.8
2022-07-30,29.6
2022-07-31,28.8
2022-08-01,28.5
2022-08-02,28.6
2022-08-03,28
2022-08-04,29
2022-08-05,29.7
2022-08-06,28.6
2022-08-07,29.6
2022-08-08,28.8
2022-08-09,28.3
2022-08-10,27.6
2022-08-11,27.6
2022-08-12,28.8
2022-08-13,28.9
2022-08-14,27.4
2022-08-15,28
2022-08-16,29.3
2022-08-17,30.3
2022-08-18,30.3
2022-08-19,28.9
2022-08-20,28.5
2022-08-21,29.1
2022-08-22,29.6
2022-08-23,27.5
2022-08-24,28
2022-08-25,28.9
2022-08-26,29.7
2022-08-27,28.6
2022-08-28,27.9
2022-08-29,29.2
2022-08-30,30.1
2022-08-31,30.1
2022-09-01,29.1
2022-09-02,28.9
2022-09-03,28.4
2022-09-04,27.8
2022-09-05,27.6
2022-09-06,28.3
2022-09-07,29.8
2022-09-08,30.1
2022-09-09,29.3
2022-09-10,27.6
2022-09-11,25.6
2022-09-12,24.9
2022-09-13,24.9
2022-09-14,24.8
2022-09-15,26.7
2022-09-16,27
2022-09-17,28.2
2022-09-18,28
2022-09-19,28.1
2022-09-20,28
2022-09-21,27.9
2022-09-22,27.9
2022-09-23,28.2
2022-09-24,28.4
2022-09-25,28.1
2022-09-26,27.3
2022-09-27,27.4
2022-09-28,28
2022-09-29,29
2022-09-30,29.8
2022-10-01,28.7
2022-10-02,26.7
2022-10-03,25.5
2022-10-04,27.6
2022-10-05,27.7
2022-10-06,27.2
2022-10-07,28.6
2022-10-08,28.6
2022-10-09,27.9
2022-10-10,27.4
2022-10-11,27.5
2022-10-12,25.9
2022-10-13,26.4
2022-10-14,27.7
2022-10-15,27.4
2022-10-16,26.9
2022-10-17,27.1
2022-10-18,27
2022-10-19,26.8
2022-10-20,26.7
2022-10-21,26.8
2022-10-22,27.7
2022-10-23,26.3
2022-10-24,22.4
2022-10-25,23.2
2022-10-26,24.8
2022-10-27,24.4
2022-10-28,23.7
2022-10-29,24.6
2022-10-30,25.7
2022-10-31,26.5
2022-11-01,26.6
2022-11-02,25.5
2022-11-03,24.5
2022-11-04,23.5
2022-11-05,24.5
2022-11-06,24.7
2022-11-07,24.4
2022-11-08,24.3
2022-11-09,24.4
2022-11-10,23.6
2022-11-11,23.4
2022-11-12,23.2
2022-11-13,22.3
2022-11-14,21.9
2022-11-15,22.1
2022-11-16,22.3
2022-11-17,22
2022-11-18,21.7
2022-11-19,21.9
2022-11-20,23.4
2022-11-21,21.8
2022-11-22,20.9
2022-11-23,21
2022-11-24,21.3
2022-11-25,21.7
2022-11-26,21.5
2022-11-27,21.1
2022-11-28,22.9
2022-11-29,24.1
2022-11-30,23.5
2022-12-01,21.8
2022-12-02,21
2022-12-03,20.4
2022-12-04,20.9
2022-12-05,20.5
2022-12-06,20.8
2022-12-07,20.4
2022-12-08,20.3
2022-12-09,19.7
2022-12-10,20.3
2022-12-11,20.3
2022-12-12,20.1
2022-12-13,21.3
2022-12-14,19.8
2022-12-15,18.6
2022-12-16,18.9
2022-12-17,19.3
2022-12-18,18.4
2022-12-19,18.3
2022-12-20,19.2
2022-12-21,19.6
2022-12-22,19.3
2022-12-23,18
2022-12-24,18.5
2022-12-25,19.4
2022-12-26,21
2022-12-27,19.9
2022-12-28,18.2
2022-12-29,17
2022-12-30,17.1
2022-12-31,16.8
